date,vendor_raw,vendor_norm,amount,currency,account,account_name,confidence,source,reason,status,learned,coa_valid,cost_usd,memo
2024-07-17,Ironvale Partners PLC,IRONVALE PARTNERS,328.77,GBP,6200,Rent,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Ironvale Partners PLC — invoice IRO-2024-7458
2024-07-17,Hollowway Systems & Co,HOLLOWWAY SYSTEMS & CO,648.56,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Hollowway Systems & Co — invoice HOL-2024-2963
2024-07-17,Greylock Consulting PLC,GREYLOCK CONSULTING,1124.97,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Greylock Consulting PLC — invoice GRE-2024-3519
2024-07-17,Northgate Systems Limited,NORTHGATE SYSTEMS,1276.92,GBP,6200,Rent,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Northgate Systems Limited — invoice NOR-2024-2644
2024-07-18,Marchmont Consulting PLC,MARCHMONT CONSULTING,244.82,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Marchmont Consulting PLC — invoice MAR-2024-4382
2024-07-19,Orrell Supplies Ltd,ORRELL SUPPLIES,150.73,GBP,5000,Cost of sales,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Orrell Supplies Ltd — invoice ORR-2024-4774
2024-07-19,Northgate Systems Limited,NORTHGATE SYSTEMS,855.62,GBP,6200,Rent,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Northgate Systems Limited — invoice NOR-2024-2643
2024-07-21,Jarrow Supplies LLP,JARROW SUPPLIES,741.85,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Jarrow Supplies LLP — invoice JAR-2024-6127
2024-07-21,Jarrow Supplies LLP,JARROW SUPPLIES,503.35,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Jarrow Supplies LLP — invoice JAR-2024-6129
2024-07-21,Ironvale Partners PLC,IRONVALE PARTNERS,1949.49,GBP,6200,Rent,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Ironvale Partners PLC — invoice IRO-2024-7460
2024-07-22,Ironvale Partners PLC,IRONVALE PARTNERS,806.73,GBP,6200,Rent,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Ironvale Partners PLC — invoice IRO-2024-7459
2024-07-23,Greylock Consulting PLC,GREYLOCK CONSULTING,1371.33,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Greylock Consulting PLC — invoice GRE-2024-3518
2024-07-24,Marchmont Consulting PLC,MARCHMONT CONSULTING,677.36,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Marchmont Consulting PLC — invoice MAR-2024-4383
2024-07-26,Kestrel Partners Ltd,KESTREL PARTNERS,304.44,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Kestrel Partners Ltd — invoice KES-2024-6959
2024-07-27,Redmayne Consulting PLC,REDMAYNE CONSULTING,784.98,GBP,6200,Rent,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Redmayne Consulting PLC — invoice RED-2024-3367
2024-07-27,Orrell Supplies Ltd,ORRELL SUPPLIES,828.70,GBP,5000,Cost of sales,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Orrell Supplies Ltd — invoice ORR-2024-4775
2024-07-28,Eastgate Supplies LLP,EASTGATE SUPPLIES,777.11,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Eastgate Supplies LLP — invoice EAS-2024-3623
2024-07-30,Marchmont Consulting PLC,MARCHMONT CONSULTING,346.86,GBP,6300,Utilities,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Marchmont Consulting PLC — invoice MAR-2024-4381
2024-07-31,Kestrel Partners Ltd,KESTREL PARTNERS,415.48,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Kestrel Partners Ltd — invoice KES-2024-6954
2024-07-31,Jarrow Supplies LLP,JARROW SUPPLIES,598.79,GBP,6000,Professional fees,1.000,memory,learned from a human correction,auto,yes,yes,0.000000,Jarrow Supplies LLP — invoice JAR-2024-6130
